Phantom,Source Organ,Source Type,Source Energy (MeV),Organ ID,Marrow mass (kg),Endosteum mass (kg),Total fluence (photons/m2/source),Marrow excluded fluence (photons/m2/source),Endosteum excluded fluence (photons/m2/source),Marrow dose (Gy/source),Marrow Relative Error,Marrow Statistical Uncertainty (%),Endosteum dose (Gy/source),Endosteum Relative Error,Endosteum Statistical Uncertainty (%),Marrow mass fraction,Endosteum mass fraction,Total Active Marrow Mass (kg),Total Endosteum Mass (kg),RBM Dose (Gy/source),RBM Relative Error,RBM Statistical Uncertainty (%),RBM SAF (kg^-1),RBM SAF Statistical Uncertainty (kg^-1),Endosteum Dose (Gy/source),Endosteum SAF (kg^-1),Endosteum SAF Statistical Uncertainty (kg^-1)
Adult Female,Liver,photon,10.0,5000,0.1449,0.0206,2.9969730499999994,0.0,0.0,1.3249431451284447e-15,0.10386673257250653,10.386673257250653,1.33773126726128e-15,,,0.16116116116116116,0.0505509067262153,,,,,,,,,,
Adult Female,Liver,photon,10.0,5200,0.1107,0.018,3.2965429399999997,0.0,0.0,1.2375689828232909e-15,0.11661149444052749,11.661149444052748,1.2474442127518182e-15,,,0.12312312312312312,0.04417069519766385,,,,,,,,,,
Adult Female,Liver,photon,10.0,5400,0.0891,0.0158,1.32969967,0.0,0.0,4.980785342420432e-16,0.20652031914175553,20.652031914175552,5.023815547408796e-16,,,0.0990990990990991,0.038772054673504946,,,,,,,,,,
Adult Female,Liver,photon,10.0,5600,0.027899999999999998,0.0043,2.5951978999999996,0.0,0.0,1.1578831355872427e-15,0.19536552242277888,19.53655224227789,1.163993509686653e-15,,,0.03103103103103103,0.010551888297219699,,,,,,,,,,
Adult Male,Liver,photon,10.0,1400,0.0269,0.00941,0.78607309,0.0,0.0,3.082375820977056e-16,0.28540039193351896,28.540039193351895,3.1183870124206287e-16,0.04864102500638925,4.864102500638925,0.022987523500256363,0.01728508449669361,1.1702000000000001,0.5444,6.358039639533336e-16,0.048164437699642244,4.816443769964224,0.00039683762105931024,1.9113460876385386e-05,2.947179175679112e-16,0.0001839484556906411,8.94744143313516e-06
Adult Male,Liver,photon,10.0,1500,,0.00019,1.1112036,,0.0,,,,5.982324009740589e-16,,,,0.0003490080822924321,,,,,,,,,,
Adult Male,Liver,photon,10.0,1700,,0.01125,1.0137919499999999,,0.0,,,,4.952333835881801e-16,,,,0.020664952240999266,,,,,,,,,,
Adult Male,Liver,photon,10.0,1800,,0.00025,1.3934434,,0.0,,,,8.411287094242359e-16,,,,0.0004592211609110948,,,,,,,,,,
Adult Male,Liver,photon,10.0,2000,,0.016309999999999998,0.6389950879999999,,0.0,,,,3.232697775328803e-16,,,,0.02995958853783982,,,,,,,,,,
Adult Male,Liver,photon,10.0,2100,,8.999999999999999e-05,0.45912480000000006,,0.0,,,,3.0034395378410496e-16,,,,0.0001653196179279941,,,,,,,,,,
Adult Male,Liver,photon,10.0,2300,,0.0125,0.24067559999999996,,0.0,,,,2.3144435517859286e-16,,,,0.02296105804555474,,,,,,,,,,
