Phantom,Source Organ,Source Type,Source Energy (MeV),Organ ID,Marrow mass (kg),Endosteum mass (kg),Total fluence (photons/m2/source),Marrow excluded fluence (photons/m2/source),Endosteum excluded fluence (photons/m2/source),Marrow dose (Gy/source),Marrow Relative Error,Marrow Statistical Uncertainty (%),Endosteum dose (Gy/source),Endosteum Relative Error,Endosteum Statistical Uncertainty (%),Marrow mass fraction,Endosteum mass fraction,Total Active Marrow Mass (kg),Total Endosteum Mass (kg),RBM Dose (Gy/source),RBM Relative Error,RBM Statistical Uncertainty (%),RBM SAF (kg^-1),RBM SAF Statistical Uncertainty (kg^-1),Endosteum Dose (Gy/source),Endosteum SAF (kg^-1),Endosteum SAF Statistical Uncertainty (kg^-1)
Adult Male,Liver,photon,10.0,2100,,8.999999999999999e-05,0.0,,0.0,,,,0.0,,,,0.0001653196179279941,,,,,,,,,,
Adult Male,Liver,photon,10.0,2300,,0.0125,1.90448718628e-05,,0.0,,,,4.815028349827437e-16,,,,0.02296105804555474,,,,,,,,,,
Adult Male,Liver,photon,10.0,2500,0.009300000000000001,0.0025,0.00018029580080711002,0.0,0.0,2.004988734568851e-15,0.5608070726817712,56.08070726817712,2.014121508250376e-15,,,0.00794735942573919,0.004592211609110948,,,,,,,,,,
Adult Male,Liver,photon,10.0,2700,0.0889,0.0834,4.9360254186069005e-05,0.0,0.0,6.248658538133054e-16,0.47590855494890694,47.5908554948907,6.251819105176787e-16,,,0.07596991967185096,0.15319617927994122,,,,,,,,,,
Adult Male,Liver,photon,10.0,2900,0.07840000000000001,0.043340000000000004,0.0,0.0,0.0,0.0,,,0.0,,,0.06699709451375833,0.0796105804555474,,,,,,,,,,
Adult Male,Liver,photon,10.0,3000,,0.00086,0.0,,0.0,,,,0.0,,,,0.001579720793534166,,,,,,,,,,
Adult Male,Liver,photon,10.0,3200,,0.04783,0.0,,0.0,,,,0.0,,,,0.08785819250551065,,,,,,,,,,
Adult Male,Liver,photon,10.0,3300,,0.00067,0.0,,0.0,,,,0.0,,,,0.001230712711241734,,,,,,,,,,
Adult Male,Liver,photon,10.0,3500,,0.08738,0.0,,0.0,,,,0.0,,,,0.16050698016164586,,,,,,,,,,
Adult Male,Liver,photon,10.0,3600,,0.005019999999999999,0.0,,0.0,,,,0.0,,,,0.009221160911094782,,,,,,,,,,
Adult Male,Liver,photon,10.0,3800,,0.0422,0.0,,0.0,,,,0.0,,,,0.0775165319617928,,,,,,,,,,
Adult Male,Liver,photon,10.0,4000,0.0094,0.002,1.8381775258700002e-05,0.0,0.0,1.1129207958027559e-16,0.9994998749369999,99.9499874937,1.1129207958027559e-16,,,0.00803281490343531,0.0036737692872887582,,,,,,,,,,
Adult Male,Liver,photon,10.0,4200,0.2052,0.0517,5.3836890432105996e-05,0.0,0.0,5.837253769002255e-16,0.31677625361009554,31.677625361009554,5.851515319784047e-16,,,0.17535464023243888,0.0949669360764144,,,,,,,,,,
Adult Male,Liver,photon,10.0,4400,0.18880000000000002,0.0298,0.0007098690317040731,0.0,0.0,1.2498508757835534e-14,0.0598550903345793,5.98550903345793,1.2508468657944252e-14,,,0.16133994189027517,0.0547391623806025,,,,,,,,,,
Adult Male,Liver,photon,10.0,4600,0.032799999999999996,0.009800000000000001,0.00030109732829799,0.0,0.0,4.464858851655688e-15,0.22158523956933515,22.158523956933514,4.471536577453419e-15,,,0.028029396684327457,0.018001469507714918,,,,,,,,,,
Adult Male,Liver,photon,10.0,4800,0.0456,0.0115,9.919547510475391e-05,0.0,0.0,1.2984506368486578e-15,0.4960309166461119,49.603091664611185,1.2996473343594209e-15,,,0.03896769782943087,0.02112417340191036,,,,,,,,,,
Adult Male,Liver,photon,10.0,5000,0.18880000000000002,0.0269,0.000710890650306625,0.0,0.0,1.2946067989846704e-14,0.1281171596175153,12.81171596175153,1.2953546610347807e-14,,,0.16133994189027517,0.0494121969140338,,,,,,,,,,
Adult Male,Liver,photon,10.0,5200,0.1439,0.023399999999999997,0.00040486942883614604,0.0,0.0,8.328430137053926e-15,0.22204687457076908,22.204687457076908,8.330024469196355e-15,,,0.12297043240471713,0.042983100661278466,,,,,,,,,,
Adult Male,Liver,photon,10.0,5400,0.1159,0.0206,0.00015091088752931,0.0,0.0,2.60102385806355e-15,0.5318776294532239,53.18776294532239,2.6019694538949795e-15,,,0.09904289864980344,0.03783982365907421,,,,,,,,,,
Adult Male,Liver,photon,10.0,5600,0.0363,0.0055,0.00042128658115786504,0.0,0.0,7.099438103892894e-15,0.29605014309500344,29.605014309500344,7.102229689077117e-15,,,0.031020338403691672,0.010102865540044085,,,,,,,,,,
