Phantom,Source Organ ID,Source Organ Name,Source Type,Source Energy (MeV),Target Organ ID,Target Organ Name,Target Organ Mass (g),Dose (Gy/source),SAF (kg^-1),Relative Error,Statistical Uncertainty (%)
Adult Male,9500,Liver,photon,10.0,13200,Thyroid,23.350524289154098,2.2085e-15,0.0013784372790947453,0.9045,90.45
Adult Male,9500,Liver,photon,10.0,13300,Tongue_upper (food),20.993037544080003,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,photon,10.0,13301,Tongue_lower,54.55215826284,7.4541e-17,4.6524832791940874e-05,0.9642,96.41999999999999
Adult Male,9500,Liver,photon,10.0,13400,Tonsils,3.1090947489247,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,photon,10.0,13500,Ureter_left,8.8090670465834,8.2408e-15,0.0051435027980819455,0.6271,62.71
Adult Male,9500,Liver,photon,10.0,13600,Ureter_right,7.772708595126299,5.3403e-16,0.0003333153091034489,0.8091,80.91000000000001
Adult Male,9500,Liver,photon,10.0,13700,Urinary bladder wall_insensitive,49.781123236104,7.1263e-16,0.000444788661173325,0.4631,46.31
Adult Male,9500,Liver,photon,10.0,13701,Urinary bladder wall_sensitive_118/116~193/185 um,1.317737831592,1.1298e-15,0.0007051656952326208,0.5448,54.48
Adult Male,9500,Liver,photon,10.0,13800,Urinary bladder contents,200.000002986056,1.4971e-15,0.000934416323537579,0.5533,55.33
Adult Male,9500,Liver,photon,10.0,14000,Air inside body,0.1401650804136,6.6238e-16,0.0004134250780741578,0.8024,80.24
