[ T-Deposit ]
    title = [t-deposit] in region mesh
     mesh =  reg            # mesh type is region-wise
      reg = all
   volume                   # combined, lattice or level structure 
   non     reg      vol     # reg definition
    8     302   1.0566E-02   0.0000E+00  0.0000
    9     303   4.2430E+00   1.6437E-15  1.0000
   10     400   1.0416E-01   3.4173E-14  0.5591
   11     401   2.7920E-01   2.4730E-14  0.3483
   12     402   7.0133E-02   2.8145E-14  0.4000
   13     403   3.5142E-02   2.3385E-14  0.3311
   14     404   7.0301E-02   2.1833E-14  0.3337
   15     405   1.3754E+01   3.7363E-14  0.2210
   16     500   6.2995E-02   3.0660E-14  0.2352
   17     501   1.5350E-02   1.3078E-14  0.5488
   18     600   1.7928E-02   1.4757E-15  1.0000
   19     700   7.9545E+00   1.4171E-13  0.1511
   20     800   1.0234E-02   2.3252E-14  0.4246
   21     801   1.2254E-02   2.3420E-14  0.4247
   22     802   2.0469E-02   2.3400E-14  0.4246
   23     803   5.1434E-02   2.4300E-14  0.4282
   24     804   1.0331E-02   2.4314E-14  0.4286
   25     805   2.0706E-02   2.5117E-14  0.4286
   26     806   2.0766E-02   2.6085E-14  0.4341
   27     807   2.0824E-02   2.5788E-14  0.4325
   28     808   1.1436E+00   2.2453E-14  0.4412
   29     900   1.8011E+00   2.0372E-14  0.5221
   30     910   2.8370E+00   2.8973E-14  0.5155
   31    1000   1.1120E+02   2.8996E-14  0.1174
   32    1010   2.2625E+02   1.0023E-14  0.1136
   33    1100   4.3693E+01   2.4911E-15  0.4819
   34    1110   1.3160E+02   2.7743E-15  0.4110
   35    1200   7.5384E+01   0.0000E+00  0.0000
   36    1210   3.3550E+02   0.0000E+00  0.0000
   37    1300   5.9705E+01   5.4571E-15  0.2657
   38    1400   9.0901E+01   1.0300E-14  0.2849
   39    1500   2.0914E+01   2.4325E-15  0.6218
   40    1600   5.4254E+01   1.9122E-15  0.4453
   41    1700   4.4999E+01   9.9212E-16  0.8747
   42    1800   2.0890E+01   7.9571E-15  0.7217
   43    1900   8.2305E+01   6.5044E-16  0.6456
   44    2000   7.7782E+01   9.3149E-16  0.6935
   45    2100   3.4728E+01   6.3650E-16  1.0000
   46    2200   5.5216E+01   0.0000E+00  0.0000
   47    2300   6.2095E+01   1.1275E-17  1.0000
   48    2400   1.7240E+01   3.8453E-14  0.1428
   49    2500   3.2549E+01   4.6301E-14  0.1790
   50    2600   2.1411E+02   6.1008E-15  0.1283
   51    2700   3.1255E+02   4.5293E-15  0.1395
   52    2800   1.2822E+02   1.1425E-17  1.0000
   53    2900   2.2257E+02   2.3248E-16  0.9852
   54    3000   4.0282E+01   0.0000E+00  0.0000
   55    3100   1.2654E+02   0.0000E+00  0.0000
   56    3200   1.4891E+02   4.4228E-18  1.0000
   57    3300   5.7861E+01   0.0000E+00  0.0000
   58    3400   2.8616E+02   1.8713E-17  1.0000
   59    3500   5.0003E+02   1.6500E-16  1.0000
   60    3600   9.0605E+01   0.0000E+00  0.0000
   61    3700   9.1111E+01   0.0000E+00  0.0000
   62    3800   2.3048E+02   0.0000E+00  0.0000
   63    3900   2.3841E+01   2.2417E-14  0.1893
   64    4000   2.8157E+01   3.7331E-14  0.2144
   65    4100   1.3784E+02   4.9330E-16  0.4707
   66    4200   4.1231E+02   3.9442E-16  0.4793
   67    4300   8.6396E+01   9.6995E-15  0.1015
   68    4400   2.5513E+02   9.9636E-15  0.1120
   69    4500   6.3899E+01   1.0378E-14  0.1620
   70    4600   8.5982E+01   1.0323E-14  0.2270
