Organ ID,Organ Mass (g),Dose (Gy/source),Relative Error
4800,75.60121987,1.418022717e-16,0.9994998749
4900,205.8277997,2.644823679e-15,0.2852175045
5000,271.9154946,2.017094641e-15,0.36054826
5100,156.1749221,2.009546224e-15,0.3904589232
5200,264.9755765,1.863456973e-15,0.3401036793
5300,80.24045854,8.929266016e-16,0.6736864939
5400,154.8396845,9.950646302e-16,0.7543600306
5500,1.685296248,2.753422258e-15,0.9994998749
5600,51.3469606,4.874702816e-15,0.5502380446
5700,41.95907372,2.380673349e-15,0.9556765422
5800,69.35056397,2.792660467e-15,0.5463830771
6100,1349.568113,1.235492711e-16,0.5976501299
6200,153.6633058,4.817374366e-16,0.9034947663
6300,102.4914601,3.229137657e-15,0.4711745223
6400,153.6633035,2.444255438e-15,0.4747623708
6500,102.4914614,3.430495124e-15,0.4557802295
6600,0.03888949784,0,0
6601,0.1892705671,0,0
6700,1.100128016,0,0
6701,0.3042709126,0,0
6702,6.050738358,0,0
6800,0.03888931586,0,0
6801,0.189270662,0,0
6900,1.100123805,0,0
6901,0.3042708209,0,0
6902,6.05074075,0,0
7000,8.201118428,1.57847523e-14,0.6410970912
7100,47.99999846,1.264272354e-14,0.3631112976
7200,1.560964175,6.277125e-15,0.6675986064
7201,1.043729985,2.371092059e-15,0.7197190342
7202,5.256181108,3.732378668e-15,0.6612905663
7203,165.0120124,4.117835833e-15,0.325430725
7300,230.0000006,3.985951169e-15,0.3063447478
7400,12.34122773,5.814738126e-16,0.738372006
7401,1.921644613,3.312653884e-15,0.8908851521
7402,4.831023158,3.976500137e-16,0.9994998749
7403,736.6617236,1.307501515e-15,0.3005651709
7500,45.22669119,4.350332635e-17,0.9994998749
7501,234.7733081,1.088193343e-15,0.4624887459
7600,4.450855099,0,0
7601,0.3218907158,0,0
7602,107.7839896,7.885733646e-16,0.755528787
7700,100.0070035,9.991588654e-16,0.8918802889
7800,3.680164608,1.863331741e-14,0.7149036161
7801,0.2663179478,2.486472039e-15,0.9994998749
7802,64.84744016,4.043334732e-15,0.6224783952
7900,59.99499313,2.762729643e-15,0.6945622588
8000,2.195965822,0,0
8001,0.159996331,0,0
8002,66.42798484,7.514616112e-16,0.8806945828
8100,30.0050013,4.025884649e-16,0.9994998749
8200,3.020775327,0,0
8201,0.2195368713,0,0
8202,109.3204114,5.694947815e-16,0.9295660382
8300,50.00299463,0,0
8400,4.222046558,0,0
8401,0.3059269267,0,0
8402,51.76085913,0,0
8500,79.99299661,0,0
8600,31.26769463,2.584694425e-16,0.9994998749
8700,290.8899695,1.909858996e-15,0.3496588648
8800,370.000006,2.207665976e-15,0.3044106725
8900,149.091082,1.867109133e-15,0.4687759189
9000,37.44117633,1.571977215e-15,0.6600001239
9100,7.494248016,5.237896164e-16,0.9994998749
9200,125.1467025,1.405658163e-15,0.5526676678
9300,31.43977766,6.756303839e-15,0.6436104089
9400,6.291959956,3.064176499e-14,0.7022171757
