Phantom Group,Sex,Compound Organ,Acronym,Constituent Organ IDs,Reference Mass (g),Phantom Mass (g),% Error
ICRP145,Male,Left kidney C+M+P,LKidney,8900_9000_9100,184.3569057379942,208.34952482486588,13.01422314007033
ICRP145,Male,Right ovary,ROvary,11200,0.0,0.0,
ICRP145,Male,Left ovary,LOvary,11100,0.0,0.0,
ICRP145,Male,Pituitary gland,P-gland,11400,0.587518741194832,0.6218196488304819,5.838266123373764
ICRP145,Male,Spinal cord,Sp-cord,12600,33.88678693897573,37.951723316166984,11.995638254259697
ICRP145,Male,Ureters,Ureters,13500_13600,14.672290289421289,16.58177564174428,13.01422828104572
ICRP145,Male,Adipose/residual tissue,Adipose,11600,15614.359488339216,975.6224151055426,-93.75176153825498
ICRP145,Female,Red (active) marrow,R-marrow,1400_2500_2700_2900_4000_4200_4400_4600_4800_5000_5200_5400_5600,2204.9766058317623,2452.442545613498,11.223064187040963
ICRP145,Female,Colon wall,Colon,7600_7601_7602_7800_7801_7802_8000_8001_8002_8200_8201_8202_8400_8401_8402_8600,401.0345610872907,450.2518559415986,12.27258187445722
ICRP145,Female,Stem cells of colon,Colon-stem,7601_7801_8001_8201_8401,1.1344543758218655,1.2736687925787815,12.27148660395099
ICRP145,Female,RLung + LLung,Lungs,9700_9900,845.9578457139596,949.7733446006667,12.27194704945261
ICRP145,Female,Stomach wall,St-wall,7200_7201_7202_7203,153.9769319589917,172.87288770040027,12.271939374945507
ICRP145,Female,Stem cells of stomach,St-stem,7201,0.9296354936216783,1.0437299846490133,12.273035163797932
ICRP145,Female,Breast-a + Breast-g,Breast,6200_6300_6400_6500,476.8714862982818,512.3095308708137,7.4313616122490185
ICRP145,Female,ROvary + LOvary,Ovaries,11100_11200,11.255302700275433,12.636547683324645,12.271948785663591
ICRP145,Female,Testes,Testes,12900_13000,0.0,0.0,
ICRP145,Female,Urinary bladder wall,UB-wall,13700_13701,36.34437311593107,40.80452677619653,12.271923486033147
ICRP145,Female,Urinary bladder basal cells,UB-basal,13701,2.012106842758913,1.3454738559917723,-33.13109287243826
ICRP145,Female,Oesophagus wall,Oesophagus,11000_11001_11002,38.521281497043816,43.218221843132085,12.19310511891646
ICRP145,Female,Oesophagus basal cells,Oesophagus-bas,11001,0.08969558132206938,0.10061746876350214,12.176617042277257
ICRP145,Female,Liver,Liver,9500,1612.1569298984964,1810.0000020049406,12.271948743780214
ICRP145,Female,Thyroid,Thyroid,13200,17.328734464969504,19.45530683430379,12.27194272976604
ICRP145,Female,50-um endosteal region,Endost-BS,1400_1500_1700_2000_2100_2300_2500_2700_2900_3000_3200_3500_3600_3800_4000_4200_4400_4600_4800_5000_5200_5400_5600,3514.0907208442095,3824.2477446914377,8.826096093862864
ICRP145,Female,Brain,Brain,6100,1276.255611476403,1349.5681134246909,5.744343162062833
ICRP145,Female,Salivary glands,S-glands,12000_12100,66.0234703117623,71.75972024118914,8.688198154899041
ICRP145,Female,Skin,Skin,12200_12201,2241.707054377586,161.90656217937294,-92.77753255657544
ICRP145,Female,Basal cells of skin,Skin-bas,12201,82.17758190275877,6.324483800426981,-92.30388184467296
ICRP145,Female,RAdrenal + LAdrenal,Adrenals,100_200,13.774666369145372,15.465087135502394,12.271954333089967
ICRP145,Female,ET region,ET,300_301_302_303_401_402_403_404_405,17.573824654762333,19.0777948977631,8.558013252927296
ICRP145,Female,Gallbladder wall,GB-wall,7000,7.304689191881326,8.20111842803206,12.271969588344103
ICRP145,Female,Heart wall,Ht-wall,8700,259.09406587698584,290.8899694672094,12.271953617540522
ICRP145,Female,RKidney + LKidney,Kidneys,8900_9000_9100_9200_9300_9400,317.8932589000766,356.90494649345965,12.271945535543924
ICRP145,Female,Systemic lymph nodes,LN-Sys,10200_10300_10400_10500,111.51267145240888,125.5694786065277,12.605569368067687
ICRP145,Female,Muscle,Muscle,10600,15824.543639820877,445.02162805060715,-97.18777591202848
ICRP145,Female,Oral mucosa,O-mucosa,500_501_600,0.09258048618279907,0.10108664517593789,9.187853017258423
ICRP145,Female,Pancreas,Pancreas,11300,128.75133062298374,144.5516199997302,12.271942589093452
ICRP145,Female,Prostate,Prostate,11500,0.0,0.0,
ICRP145,Female,Small intestine wall,SI-wall,7400_7401_7402_7403,673.1431398073083,755.7556190799457,12.272646690908234
