Phantom Group,Sex,Quantity,Organ ID,Organ/tissue,Reference (cm or g),Value (cm or g),% Error
ICRP145,Male,Organ,6801,"Eye lens, insensitive, right",0.17913565194247869,0.18927065242507315,5.657723838160852
ICRP145,Male,Organ,6900,"Cornea, right",1.0536726574554003,1.1132816955125,5.6572634428091195
ICRP145,Male,Organ,6901,"Aqueous, right",0.291101379788252,0.30757159201175416,5.657895622302658
ICRP145,Male,Organ,6902,"Vitreous, right",5.794182114052224,6.12199522014182,5.65762517706467
ICRP145,Male,Organ,7000,Gallbladder wall,9.170194617739174,10.363612759822626,13.014098302503399
ICRP145,Male,Organ,7100,Gallbladder contents,51.32096333957828,57.99999932578972,13.014245157515644
ICRP145,Male,Organ,7200,"Stomach wall, 0~60 um",1.5783397512891135,1.7837383883440847,13.013588290303863
ICRP145,Male,Organ,7201,"Stomach wall, 60~100 um",1.0554677357504934,1.1928211312291406,13.013509634283771
ICRP145,Male,Organ,7202,"Stomach wall, 100~300 um",5.316153008996211,6.008017357407735,13.014379895400364
ICRP145,Male,Organ,7203,"Stomach wall, 300 um~surface",163.94935869274315,185.286098491188,13.014225836913429
ICRP145,Male,Organ,7300,Stomach contents,221.21106612227774,249.99998652415073,13.014231569210683
ICRP145,Male,Organ,7400,"Small intestine wall, 0~130 um",12.872085357855925,14.54747903922977,13.015712954011304
ICRP145,Male,Organ,7401,"Small intestine wall, 130~150 um",2.0036706624923166,2.264442034599205,13.014682352164671
ICRP145,Male,Organ,7402,"Small intestine wall, 150~200 um",5.036403647864871,5.691843593243338,13.014047149623007
ICRP145,Male,Organ,7403,"Small intestine wall, 200 um~surface",743.354511625898,840.0963485350128,13.014226105592169
ICRP145,Male,Organ,7500,"Small intestine contents, -500~0 um",47.195284785259176,53.337397292948445,13.014250333769947
ICRP145,Male,Organ,7501,"Small intestine contents, centre~500 um",262.500239289284,296.66260810883153,13.014223877296905
ICRP145,Male,Organ,7600,"Ascending colon wall, 0~280 um",2.717759467574717,3.0714502217638864,13.014056556844483
ICRP145,Male,Organ,7601,"Ascending colon wall, 280~300 um",0.19762534145968602,0.22334956641016762,13.01666312653994
ICRP145,Male,Organ,7602,"Ascending colon wall, 300 um~surface",103.20309308099779,116.63417775827631,13.014226876647275
ICRP145,Male,Organ,7700,Ascending colon contents,48.666438299449524,55.000000637121936,13.014230255975095
ICRP145,Male,Organ,7800,"Transverse colon wall, right, 0~280 um",3.5329115914967946,3.992697540998566,13.0143632976384
ICRP145,Male,Organ,7801,"Transverse colon wall, right, 280~300 um",0.255381264823509,0.2886113450628562,13.011949119412547
ICRP145,Male,Organ,7802,"Transverse colon wall, right, 300 um~surface",66.95736021382255,75.67134897069351,13.014235819697175
