Table D.1  -  Photon Dose Response Functions for Regional Absorbed Dose in the Skeletal Tissues of the ICRP Reference Phantoms (Gy m2),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Organ ID:  14,,,Organ ID:  15,,,Organ ID:  17,,,Organ ID:  18,,,Organ ID:  20,,,Organ ID:  21,,,Organ ID:  23,,,,,
,"Humeri, upper half",,,"Humeri, upper half",,,"Humeri, lower half",,,"Humeri, lower half",,,Ulnae and Radii,,,Ulnae and Radii,,,Wrist and Hands,,,,,
Photon,Source: spongiosa,,,Source: medullary cavity,,,Source: spongiosa,,,Source: medullary cavity,,,Source: spongiosa,,,Source: medullary cavity,,,Source: spongiosa,,,,,
Energy,Target Tissue,,,Target Tissue,,,Target Tissue,,,Target Tissue,,,Target Tissue,,,Target Tissue,,,Target Tissue,,,,,
(MeV),AM,TM50,,AM,TM50,,AM,TM50,,AM,TM50,,AM,TM50,,AM,TM50,,AM,TM50,,,,
0.050,2.95E-17,5.14E-17,,3.63E-17,4.74E-17,,3.07E-17,4.84E-17,,NA,1.66E-17,,NA,5.35E-17,,NA,1.66E-17,,NA,4.61E-17,,,,
0.060,2.78E-17,4.80E-17,,3.40E-17,4.51E-17,,2.89E-17,4.51E-17,,NA,1.73E-17,,NA,5.06E-17,,NA,1.73E-17,,NA,4.34E-17,,,,
0.080,3.18E-17,4.87E-17,,3.66E-17,4.71E-17,,3.28E-17,4.51E-17,,NA,2.29E-17,,NA,5.11E-17,,NA,2.29E-17,,NA,4.38E-17,,,,
0.10,3.99E-17,5.37E-17,,4.39E-17,5.37E-17,,4.08E-17,4.87E-17,,NA,3.11E-17,,NA,5.56E-17,,NA,3.11E-17,,NA,4.83E-17,,,,
0.15,6.55E-17,7.21E-17,,6.66E-17,7.10E-17,,6.63E-17,6.80E-17,,NA,6.13E-17,,NA,7.26E-17,,NA,6.13E-17,,NA,6.84E-17,,,,
0.20,9.48E-17,9.48E-17,,9.50E-17,9.50E-17,,9.48E-17,9.48E-17,,NA,9.48E-17,,NA,9.49E-17,,NA,9.48E-17,,NA,9.49E-17,,,,
0.30,1.51E-16,1.51E-16,,1.48E-16,1.48E-16,,1.51E-16,1.51E-16,,NA,1.53E-16,,NA,1.51E-16,,NA,1.53E-16,,NA,1.51E-16,,,,
0.40,2.07E-16,2.07E-16,,2.03E-16,2.03E-16,,2.07E-16,2.07E-16,,NA,2.10E-16,,NA,2.07E-16,,NA,2.10E-16,,NA,2.08E-16,,,,
0.50,2.61E-16,2.61E-16,,2.54E-16,2.54E-16,,2.60E-16,2.60E-16,,NA,2.65E-16,,NA,2.61E-16,,NA,2.65E-16,,NA,2.61E-16,,,,
0.60,3.12E-16,3.12E-16,,3.04E-16,3.04E-16,,3.11E-16,3.11E-16,,NA,3.17E-16,,NA,3.11E-16,,NA,3.17E-16,,NA,3.12E-16,,,,
0.80,4.06E-16,4.06E-16,,3.95E-16,3.95E-16,,4.04E-16,4.04E-16,,NA,4.12E-16,,NA,4.05E-16,,NA,4.12E-16,,NA,4.06E-16,,,,
1.0,4.91E-16,4.91E-16,,4.78E-16,4.78E-16,,4.90E-16,4.90E-16,,NA,4.99E-16,,NA,4.90E-16,,NA,4.99E-16,,NA,4.92E-16,,,,
1.5,6.74E-16,6.74E-16,,6.56E-16,6.56E-16,,6.72E-16,6.72E-16,,NA,6.86E-16,,NA,6.73E-16,,NA,6.86E-16,,NA,6.75E-16,,,,
2.0,8.28E-16,8.28E-16,,8.08E-16,8.08E-16,,8.25E-16,8.25E-16,,NA,8.41E-16,,NA,8.27E-16,,NA,8.41E-16,,NA,8.29E-16,,,,
3.0,1.09E-15,1.09E-15,,1.07E-15,1.07E-15,,1.09E-15,1.09E-15,,NA,1.10E-15,,NA,1.09E-15,,NA,1.10E-15,,NA,1.09E-15,,,,
