Phantom,Source Organ,Source Type,Source Energy (MeV),Organ ID,Marrow mass (kg),Endosteum mass (kg),Total fluence (photons/m2/source),Marrow excluded fluence (photons/m2/source),Endosteum excluded fluence (photons/m2/source),Marrow dose (Gy/source),Marrow Relative Error,Marrow Statistical Uncertainty (%),Endosteum dose (Gy/source),Endosteum Relative Error,Endosteum Statistical Uncertainty (%),Marrow mass fraction,Endosteum mass fraction,Total Active Marrow Mass (kg),Total Endosteum Mass (kg),RBM Dose (Gy/source),RBM Relative Error,RBM Statistical Uncertainty (%),RBM SAF (kg^-1),RBM SAF Statistical Uncertainty (kg^-1),Endosteum Dose (Gy/source),Endosteum SAF (kg^-1),Endosteum SAF Statistical Uncertainty (kg^-1)
Adult Male,Thyroid,photon,10.0,3200,,0.04783,0.007671000000000001,,0.0,,,,4.380975212730527e-18,,,,0.08785819250551065,,,,,,,,,,
Adult Male,Thyroid,photon,10.0,3300,,0.00067,0.0,,0.0,,,,0.0,,,,0.001230712711241734,,,,,,,,,,
Adult Male,Thyroid,photon,10.0,3500,,0.08738,0.0,,0.0,,,,0.0,,,,0.16050698016164586,,,,,,,,,,
Adult Male,Thyroid,photon,10.0,3600,,0.005019999999999999,0.0,,0.0,,,,0.0,,,,0.009221160911094782,,,,,,,,,,
Adult Male,Thyroid,photon,10.0,3800,,0.0422,0.00097628,,0.0,,,,1.5428892524747161e-18,,,,0.0775165319617928,,,,,,,,,,
Adult Male,Thyroid,photon,10.0,4000,0.0094,0.002,2.9383969300000006,0.0,0.0,1.1794803250285309e-15,0.18726337596335335,18.726337596335334,1.1899458767012402e-15,,,0.00803281490343531,0.0036737692872887582,,,,,,,,,,
Adult Male,Thyroid,photon,10.0,4200,0.2052,0.0517,0.29067318,0.0,0.0,1.5491017552725585e-16,0.2522369312346509,25.22369312346509,1.553991559981611e-16,,,0.17535464023243888,0.0949669360764144,,,,,,,,,,
Adult Male,Thyroid,photon,10.0,4400,0.18880000000000002,0.0298,1.73931135,0.0,0.0,6.809481506592045e-16,0.07451832091829785,7.451832091829785,6.883092955542181e-16,,,0.16133994189027517,0.0547391623806025,,,,,,,,,,
Adult Male,Thyroid,photon,10.0,4600,0.032799999999999996,0.009800000000000001,1.8854107699999998,0.0,0.0,8.418629757005073e-16,0.1293780112646823,12.93780112646823,8.485808765360964e-16,,,0.028029396684327457,0.018001469507714918,,,,,,,,,,
Adult Male,Thyroid,photon,10.0,4800,0.0456,0.0115,5.73199636,0.0,0.0,2.337235266555093e-15,0.11111749886875351,11.111749886875351,2.353800920652409e-15,,,0.03896769782943087,0.02112417340191036,,,,,,,,,,
Adult Male,Thyroid,photon,10.0,5000,0.18880000000000002,0.0269,2.796348184,0.0,0.0,1.0791734040710144e-15,0.09310676560138602,9.310676560138601,1.0887511569000772e-15,,,0.16133994189027517,0.0494121969140338,,,,,,,,,,
Adult Male,Thyroid,photon,10.0,5200,0.1439,0.023399999999999997,0.590400987,0.0,0.0,5.039405132186851e-16,0.3153443160855139,31.53443160855139,5.054168660239901e-16,,,0.12297043240471713,0.042983100661278466,,,,,,,,,,
Adult Male,Thyroid,photon,10.0,5400,0.1159,0.0206,0.20681965,0.0,0.0,1.6852231048030652e-16,0.3749248922674045,37.49248922674045,1.685334125886014e-16,,,0.09904289864980344,0.03783982365907421,,,,,,,,,,
Adult Male,Thyroid,photon,10.0,5600,0.0363,0.0055,3.3291649000000003,0.0,0.0,1.5183685661052625e-15,0.18916715200026443,18.91671520002644,1.5271584453603458e-15,,,0.031020338403691672,0.010102865540044085,,,,,,,,,,
