[ T-Deposit ]
    title = [t-deposit] in region mesh
     mesh =  reg            # mesh type is region-wise
      reg = all
   volume                   # combined, lattice or level structure 
   non     reg      vol     # reg definition
   25     805   5.0796E-02   1.6303E-15  1.0000
   26     806   5.0883E-02   1.6445E-15  1.0000
   27     807   5.0970E-02   1.6434E-15  1.0000
   28     808   2.6932E+00   1.9441E-15  0.9749
   29     900   1.4195E+00   0.0000E+00  0.0000
   30     910   6.5514E+00   1.1016E-15  1.0000
   31    1000   1.8225E+02   9.1324E-15  0.1767
   32    1010   4.1889E+02   5.0327E-15  0.1163
   33    1100   3.0628E+01   5.1480E-15  0.3903
   34    1110   1.5784E+02   4.0620E-15  0.2083
   35    1200   1.0269E+02   0.0000E+00  0.0000
   36    1210   3.6766E+02   3.0226E-16  0.7070
   37    1300   8.3684E+01   4.6384E-15  0.3192
   38    1400   1.1816E+02   1.9064E-15  0.4828
   39    1500   3.4907E+01   2.4283E-15  0.7057
   40    1600   5.5978E+01   3.6525E-15  0.2605
   41    1700   4.5888E+01   4.1043E-15  0.4329
   42    1800   3.8121E+01   5.3007E-15  0.5625
   43    1900   1.4364E+02   1.3060E-15  0.2945
   44    2000   1.3975E+02   1.2865E-15  0.5282
   45    2100   2.3442E+01   2.4843E-17  1.0000
   46    2200   9.5341E+01   7.1609E-16  0.5161
   47    2300   1.0724E+02   1.4650E-15  0.5200
   48    2400   2.5342E+01   2.7571E-15  0.6282
   49    2500   3.8943E+01   2.3784E-15  0.6787
   50    2600   2.9857E+02   8.6577E-16  0.3175
   51    2700   3.2796E+02   6.7536E-16  0.2902
   52    2800   1.3317E+02   2.0533E-16  0.5392
   53    2900   3.6732E+02   1.1796E-16  0.7009
   54    3000   2.6550E+01   2.6207E-15  1.0000
   55    3100   1.6164E+02   4.2181E-17  0.9997
   56    3200   3.3693E+02   1.5105E-16  0.9826
   57    3300   8.3771E+01   2.6879E-18  1.0000
   58    3400   2.8185E+02   4.4670E-19  1.0000
   59    3500   5.6033E+02   3.8611E-17  0.9570
   60    3600   8.1361E+01   0.0000E+00  0.0000
   61    3700   1.2336E+02   0.0000E+00  0.0000
   62    3800   3.9009E+02   0.0000E+00  0.0000
   63    3900   4.0377E+01   5.6118E-16  0.8902
   64    4000   4.4286E+01   6.5671E-17  0.7365
   65    4100   2.1145E+02   1.3491E-15  0.2665
   66    4200   5.5278E+02   1.9414E-15  0.2548
