Phantom,Source Organ,Source Type,Source Energy (MeV),Number of Particles,Organ ID,Marrow mass (kg),Endosteum mass (kg),Total fluence (photons/m2/source),Marrow excluded fluence (photons/m2/source),Endosteum excluded fluence (photons/m2/source),Marrow dose (Gy/source),Marrow Relative Error,Marrow Statistical Uncertainty (%),Endosteum dose (Gy/source),Endosteum Relative Error,Endosteum Statistical Uncertainty (%),Marrow mass fraction,Endosteum mass fraction,Total Active Marrow Mass (kg),Total Endosteum Mass (kg),RBM Dose (Gy/source),RBM Relative Error,RBM Statistical Uncertainty (%),RBM SAF (kg^-1),RBM SAF Uncertainty (kg^-1),Endosteum Dose (Gy/source),Endosteum SAF (kg^-1),Endosteum SAF Uncertainty (kg^-1)
Adult ICRP 145 Female Resized to Filipino,Liver,photon,10.0,10000,5400,0.0891,0.0158,0.00019916171253962398,0.0,0.0,2.2587523164770938e-15,0.13596816982420298,13.596816982420298,2.262629899918227e-15,,,0.0990990990990991,0.03882159266812453,,,,,,,,,,
Adult ICRP 145 Female Resized to Filipino,Liver,photon,10.0,10000,5600,0.027899999999999998,0.0043,0.000870326217971866,0.0,0.0,1.5562009160149095e-14,0.09367361431113232,9.367361431113231,1.5574901972785985e-14,,,0.03103103103103103,0.010565370156514903,,,,,,,,,,
Adult ICRP 145 Male Resized to Filipino,Liver,photon,10.0,10000,1400,0.0269,0.00941,0.000220340757207428,0.0,0.0,3.3354462891947186e-15,0.14871914366374694,14.871914366374694,3.338693398621513e-15,0.021435774245498786,2.1435774245498784,0.022987523500256363,0.017314344594097305,1.1702000000000001,0.5434799999999999,6.377724152722109e-15,0.02110708046187576,2.1107080461875762,0.00398066231736251,8.402015982412732e-05,2.5809974004911527e-15,0.0016109318696326173,3.453157188232407e-05
Adult ICRP 145 Male Resized to Filipino,Liver,photon,10.0,10000,1500,,0.00019,0.000332185494840052,,0.0,,,,4.843935176604881e-15,,,,0.00034959888128358003,,,,,,,,,,
Adult ICRP 145 Male Resized to Filipino,Liver,photon,10.0,10000,1700,,0.01125,0.000302617100453492,,0.0,,,,4.10040239609726e-15,,,,0.020699933760211973,,,,,,,,,,
Adult ICRP 145 Male Resized to Filipino,Liver,photon,10.0,10000,2000,,0.016309999999999998,0.0001525089893276958,,0.0,,,,2.258854453324051e-15,,,,0.03001030396702731,,,,,,,,,,
Adult ICRP 145 Male Resized to Filipino,Liver,photon,10.0,10000,2100,,8.999999999999999e-05,0.00010242178749136999,,0.0,,,,1.1111972716061848e-15,,,,0.00016559947008169576,,,,,,,,,,
Adult ICRP 145 Male Resized to Filipino,Liver,photon,10.0,10000,2300,,0.0125,2.43755188550811e-05,,0.0,,,,3.5564145662686995e-16,,,,0.022999926400235526,,,,,,,,,,
Adult ICRP 145 Male Resized to Filipino,Liver,photon,10.0,10000,2500,0.009300000000000001,0.0025,0.000253813654540501,0.0,0.0,3.868472529515387e-15,0.15913712382752776,15.913712382752776,3.87492163816049e-15,,,0.00794735942573919,0.004599985280047105,,,,,,,,,,
Adult ICRP 145 Male Resized to Filipino,Liver,photon,10.0,10000,2700,0.0889,0.0834,5.21547261039121e-05,0.0,0.0,7.790541815208865e-16,0.14071961223098126,14.071961223098125,7.79841503744209e-16,,,0.07596991967185096,0.15345550894237142,,,,,,,,,,
Adult ICRP 145 Male Resized to Filipino,Liver,photon,10.0,10000,2900,0.07840000000000001,0.043340000000000004,8.004712920504971e-05,0.0,0.0,7.4037073913492e-16,0.22760170918494307,22.760170918494307,7.428187959081946e-16,,,0.06699709451375833,0.07974534481489662,,,,,,,,,,
Adult ICRP 145 Male Resized to Filipino,Liver,photon,10.0,10000,3000,,0.00086,3.2708034436261005e-05,,0.0,,,,4.751905564078115e-16,,,,0.001582394936336204,,,,,,,,,,
Adult ICRP 145 Male Resized to Filipino,Liver,photon,10.0,10000,3200,,0.04783,5.736133712013e-06,,0.0,,,,2.1244205792805048e-17,,,,0.0880069183778612,,,,,,,,,,
Adult ICRP 145 Male Resized to Filipino,Liver,photon,10.0,10000,3500,,0.08738,3.582402642075e-06,,0.0,,,,5.337399978570612e-17,,,,0.16077868550820643,,,,,,,,,,
Adult ICRP 145 Male Resized to Filipino,Liver,photon,10.0,10000,3600,,0.005019999999999999,0.0,,0.0,,,,0.0,,,,0.009236770442334586,,,,,,,,,,
Adult ICRP 145 Male Resized to Filipino,Liver,photon,10.0,10000,3800,,0.0422,9.3299644576601e-07,,0.0,,,,1.8278749101693693e-17,,,,0.07764775152719514,,,,,,,,,,
Adult ICRP 145 Male Resized to Filipino,Liver,photon,10.0,10000,4000,0.0094,0.002,0.00013464723397679502,0.0,0.0,2.2650628654754615e-15,0.24939194900667094,24.939194900667093,2.2681489063743588e-15,,,0.00803281490343531,0.003679988224037684,,,,,,,,,,
Adult ICRP 145 Male Resized to Filipino,Liver,photon,10.0,10000,4200,0.2052,0.0517,0.00013679059077749888,0.0,0.0,1.7280686064743098e-15,0.09731906670192533,9.731906670192533,1.7302203226353974e-15,,,0.17535464023243888,0.09512769559137414,,,,,,,,,,
Adult ICRP 145 Male Resized to Filipino,Liver,photon,10.0,10000,4400,0.18880000000000002,0.0298,0.0007036308391365538,0.0,0.0,1.2211399400684554e-14,0.01901455933184452,1.901455933184452,1.2222322840094094e-14,,,0.16133994189027517,0.054831824538161496,,,,,,,,,,
Adult ICRP 145 Male Resized to Filipino,Liver,photon,10.0,10000,4600,0.032799999999999996,0.009800000000000001,0.00022235106819917761,0.0,0.0,3.2021040431239008e-15,0.08392581453529536,8.392581453529537,3.208729518878388e-15,,,0.028029396684327457,0.018031942297784653,,,,,,,,,,
Adult ICRP 145 Male Resized to Filipino,Liver,photon,10.0,10000,4800,0.0456,0.0115,0.00015654960942492103,0.0,0.0,2.1423992116470998e-15,0.19298282329950195,19.298282329950194,2.144322374764707e-15,,,0.03896769782943087,0.021159932288216683,,,,,,,,,,
Adult ICRP 145 Male Resized to Filipino,Liver,photon,10.0,10000,5000,0.18880000000000002,0.0269,0.0007637355934142014,0.0,0.0,1.2705216841622551e-14,0.043753579122521806,4.375357912252181,1.2718830822829761e-14,,,0.16133994189027517,0.04949584161330685,,,,,,,,,,
Adult ICRP 145 Male Resized to Filipino,Liver,photon,10.0,10000,5200,0.1439,0.023399999999999997,0.0005530026298080024,0.0,0.0,7.96631777349609e-15,0.07036693940627146,7.0366939406271465,7.975035127757862e-15,,,0.12297043240471713,0.0430558622212409,,,,,,,,,,
Adult ICRP 145 Male Resized to Filipino,Liver,photon,10.0,10000,5400,0.1159,0.0206,0.00018243347991478572,0.0,0.0,2.487355936301256e-15,0.1375257261968731,13.752572619687308,2.4906468202077005e-15,,,0.09904289864980344,0.03790387870758815,,,,,,,,,,
Adult ICRP 145 Male Resized to Filipino,Liver,photon,10.0,10000,5600,0.0363,0.0055,0.0008059074002946741,0.0,0.0,1.3573030531835898e-14,0.08284875779992479,8.284875779992479,1.3583159014989704e-14,,,0.031020338403691672,0.01011996761610363,,,,,,,,,,
