Phantom,Source Organ,Source Type,Source Energy (MeV),Number of Particles,Organ ID,Marrow mass (kg),Endosteum mass (kg),Total fluence (photons/m2/source),Marrow excluded fluence (photons/m2/source),Endosteum excluded fluence (photons/m2/source),Marrow dose (Gy/source),Marrow Relative Error,Marrow Statistical Uncertainty (%),Endosteum dose (Gy/source),Endosteum Relative Error,Endosteum Statistical Uncertainty (%),Marrow mass fraction,Endosteum mass fraction,Total Active Marrow Mass (kg),Total Endosteum Mass (kg),RBM Dose (Gy/source),RBM Relative Error,RBM Statistical Uncertainty (%),RBM SAF (kg^-1),RBM SAF Uncertainty (kg^-1),Endosteum Dose (Gy/source),Endosteum SAF (kg^-1),Endosteum SAF Uncertainty (kg^-1)
ICRP 145 Adult Female,Brain,photon,10.0,1000,1500,,0.00014000000000000001,0.0,,0.0,,,,0.0,,,,0.0003435498515373856,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,10.0,1000,1700,,0.008320000000000001,0.0,,0.0,,,,0.0,,,,0.02041667689136463,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,10.0,1000,1800,,0.00019,0.0001117810668584,,0.0,,,,2.9735209572657275e-16,,,,0.0004662462270864518,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,10.0,1000,2000,,0.012029999999999999,0.0,,0.0,,,,0.0,,,,0.029520747957105343,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,10.0,1000,2100,,7.000000000000001e-05,0.0,,0.0,,,,0.0,,,,0.0001717749257686928,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,10.0,1000,2300,,0.0070999999999999995,0.0,,0.0,,,,0.0,,,,0.01742288532796741,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,10.0,1000,2500,0.0072,0.0019,0.0001768566339128,0.0,0.0,3.8587342392985294e-15,0.510387242588113,51.0387242588113,3.8587342392985294e-15,,,0.008008008008008008,0.004662462270864518,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,10.0,1000,2700,0.0684,0.06420000000000001,0.002447306983348335,0.0,0.0,5.095771485933644e-14,0.0315458314744419,3.15458314744419,5.096778029345087e-14,,,0.07607607607607608,0.1575421462050011,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,10.0,1000,2900,0.0603,0.033530000000000004,0.0,0.0,0.0,0.0,,,0.0,,,0.06706706706706707,0.08228018944320385,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,10.0,1000,3000,,0.00067,0.0,,0.0,,,,0.0,,,,0.001644131432357488,,,,,,,,,,
