[ T-Deposit ]
    title = [t-deposit] in region mesh
     mesh =  reg            # mesh type is region-wise
      reg = all
   volume                   # combined, lattice or level structure 
   non     reg      vol     # reg definition
  107    7802   6.4568E+01   1.3194E-14  0.4370
  108    7900   8.0827E+01   2.2508E-14  0.5427
  109    8000   2.4094E+00   1.0161E-14  1.0000
  110    8001   1.7490E-01   9.9156E-15  1.0000
  111    8002   6.5637E+01   1.0968E-14  0.8761
  112    8100   3.4032E+01   3.0337E-15  0.9274
  113    8200   2.3716E+00   7.4315E-15  1.0000
  114    8201   1.7349E-01   7.3932E-15  1.0000
  115    8202   9.9787E+01   4.2018E-15  1.0000
  116    8300   2.9778E+01   2.4634E-14  1.0000
  117    8400   3.7979E+00   0.0000E+00  0.0000
  118    8401   2.7608E-01   0.0000E+00  0.0000
  119    8402   4.1407E+01   0.0000E+00  0.0000
  120    8500   6.3811E+01   0.0000E+00  0.0000
  121    8600   3.4111E+01   3.1777E-17  1.0000
  122    8700   3.2484E+02   1.9557E-14  0.2949
  123    8800   4.2573E+02   1.8569E-14  0.3162
  124    8900   1.3641E+02   4.9378E-15  0.9773
  125    9000   3.2234E+01   2.3750E-14  1.0000
  126    9100   6.4299E+00   0.0000E+00  0.0000
  127    9200   1.3995E+02   1.3203E-14  0.5090
  128    9300   3.3076E+01   2.6961E-14  0.8485
  129    9400   6.6321E+00   7.3228E-14  0.9682
  130    9500   1.9700E+03   4.2862E-14  0.1078
  131    9700   1.1639E+03   6.6828E-15  0.4532
  132    9900   1.3920E+03   1.7645E-14  0.2631
  133   10000   1.4357E+01   0.0000E+00  0.0000
  134   10100   1.3675E+01   1.0004E-14  1.0000
  135   10200   4.7991E+00   0.0000E+00  0.0000
  136   10300   1.1136E+02   4.5455E-15  0.5734
  137   10400   9.4480E+00   0.0000E+00  0.0000
  138   10500   9.3909E+00   0.0000E+00  0.0000
  139   10600   2.5017E+04   2.6877E-15  0.1080
  140   11000   1.6379E+00   2.9415E-14  0.8526
  141   11001   8.7955E-02   1.3533E-14  0.8066
  142   11002   4.2489E+01   1.3105E-14  0.6920
  143   11003   1.9458E+01   8.6916E-15  1.0000
  144   11300   1.4716E+02   2.7322E-14  0.4753
  145   11400   5.6985E-01   0.0000E+00  0.0000
  146   11500   1.5121E+01   0.0000E+00  0.0000
  147   11600   1.6629E+04   4.2125E-15  0.0920
  148   12000   3.9456E+01   0.0000E+00  0.0000
  149   12100   3.9474E+01   0.0000E+00  0.0000
  150   12200   2.8308E+03   2.7628E-15  0.1557
  151   12201   8.6041E+01   3.2112E-15  0.1810
  152   12600   3.2868E+01   1.0255E-16  1.0000
  153   12700   1.9066E+02   4.2271E-15  0.7985
  154   12800   1.7480E+01   0.0000E+00  0.0000
  155   12801   3.8418E-02   0.0000E+00  0.0000
  156   12900   1.5261E+01   2.9892E-14  1.0000
  157   13000   1.5263E+01   0.0000E+00  0.0000
  158   13100   2.2236E+01   0.0000E+00  0.0000
  159   13200   1.9659E+01   0.0000E+00  0.0000
  160   13300   1.8543E+01   0.0000E+00  0.0000
  161   13301   4.7888E+01   0.0000E+00  0.0000
  162   13400   2.8132E+00   0.0000E+00  0.0000
  163   13500   7.5603E+00   0.0000E+00  0.0000
  164   13600   6.6708E+00   0.0000E+00  0.0000
  165   13700   4.1714E+01   3.0579E-17  1.0000
  166   13701   1.7618E+00   0.0000E+00  0.0000
  167   13800   1.7016E+02   2.5427E-16  0.9628
  168   14000   1.2961E+02   1.8933E-15  1.0000

#   sum over    6.2597E+04   5.2505E-15  0.0569

'no. =  1'
msuc: {\huge [t-deposit] in region mesh}
msdr: {\it plotted by \ANGEL \version}
msdl: {\it calculated by \PHITS  3.36}
 
# Information for Restart Calculation
# This calculation was newly started
# istdev =  2 # 1:Batch variance, 2:History variance
# resc2  = 1.00000000000000000E+03 # Total source weight or Total source weight / maxcas
# resc3  = 1.00000000000000000E+03 # Total history number or Total batch number
# maxcas =         100 # History / Batch, only used for istdev=1
# bitrseed = 0101000011000111010110101100111000100101101011010111101101011101 # bit data of rseed
