Spongiosa ID,Energy (MeV),Fluence (photons/m2/source)
4400,0.0158489319246,0.000170637735232
4400,0.0169824365246,0
4400,0.0181970085861,7.21119959631e-05
4400,0.0194984459976,0
4400,0.0208929613085,0
4400,0.0223872113857,0.000281949233474
4400,0.0239883291902,0.000219798614033
4400,0.0257039578277,0.0011557422024
4400,0.0275422870334,0.000721959497308
4400,0.0295120922667,0.000686569142164
4400,0.0316227766017,0.00207412528168
4400,0.0338844156139,0.00353679126767
4400,0.036307805477,0.00661776127513
4400,0.0389045144994,0.0100615300044
4400,0.041686938347,0.0156401866712
4400,0.0446683592151,0.0200351980833
4400,0.0478630092323,0.0285214972323
4400,0.0512861383991,0.0319377075221
4400,0.0549540873858,0.0394141521672
4400,0.0588843655356,0.0502032729461
4400,0.063095734448,0.0517839565597
4400,0.0676082975392,0.0496106176088
4400,0.0724435960075,0.0634784952576
4400,0.0776247116629,0.0644737251225
4400,0.0831763771103,0.0780261905728
4400,0.0891250938134,0.0835358644847
4400,0.0954992586021,0.0904342582254
4400,0.102329299228,0.0828117104606
4400,0.109647819614,0.0999498796385
4400,0.117489755494,0.0950662700167
4400,0.125892541179,0.104075228757
4400,0.134896288259,0.104328671025
4400,0.144543977075,0.112118576124
4400,0.154881661891,0.103313778096
4400,0.165958690744,0.102353257373
4400,0.177827941004,0.0997437620693
4400,0.190546071796,0.113820009908
4400,0.204173794467,0.107839106234
4400,0.218776162395,0.157284154789
4400,0.234422881532,0.133361943346
4400,0.251188643151,0.141511251468
4400,0.269153480393,0.121717510493
4400,0.288403150313,0.113764579873
4400,0.309029543251,0.0913826872157
4400,0.331131121483,0.0997409543703
4400,0.354813389234,0.0861220463318
4400,0.380189396321,0.0882952544753
4400,0.407380277804,0.090917608905
4400,0.43651583224,0.0820913360521
4400,0.467735141287,0.0732041746807
4400,0.501187233627,0.0863759806531
4400,0.53703179637,0.0708064646388
4400,0.575439937337,0.087343878418
4400,0.616595001861,0.0810679911619
4400,0.660693448008,0.086643713405
4400,0.707945784384,0.0923679653036
4400,0.758577575029,0.0928559413577
4400,0.812830516164,0.104037562574
4400,0.870963589956,0.110863667916
4400,0.933254300797,0.117194681521
4400,1,2.82738353218
4600,0.001,0
4600,0.00107151930524,0
4600,0.0011481536215,0
4600,0.00123026877081,0
4600,0.00131825673856,0
4600,0.00141253754462,0
4600,0.00151356124844,0
4600,0.00162181009736,0
4600,0.00173780082875,0
4600,0.00186208713666,0
4600,0.00199526231497,1.92882523105e-06
4600,0.0021379620895,0
4600,0.00229086765277,0
4600,0.00245470891569,0
4600,0.0026302679919,0
4600,0.00281838293126,0
4600,0.0030199517204,0
4600,0.0032359365693,0
4600,0.00346736850453,0
4600,0.00371535229097,1.82615777315e-05
4600,0.00398107170553,0
4600,0.00426579518802,0
4600,0.00457088189615,0
4600,0.00489778819368,0
4600,0.0052480746025,0
4600,0.0056234132519,0
4600,0.00602559586074,0
4600,0.00645654229035,0
4600,0.00691830970919,0
4600,0.00741310241301,0
4600,0.00794328234724,0
4600,0.00851138038202,0
4600,0.00912010839356,0
4600,0.00977237220956,0
4600,0.0104712854805,0
4600,0.011220184543,9.79860272369e-05
4600,0.0120226443462,0
4600,0.0128824955169,0
4600,0.013803842646,0
4600,0.0147910838817,0
4600,0.0158489319246,0
4600,0.0169824365246,0
4600,0.0181970085861,0
4600,0.0194984459976,0
4600,0.0208929613085,3.04762622212e-05
4600,0.0223872113857,0
4600,0.0239883291902,0
4600,0.0257039578277,0
4600,0.0275422870334,0
4600,0.0295120922667,0.00158949922381
4600,0.0316227766017,0
4600,0.0338844156139,0.000255699357092
4600,0.036307805477,0.00132101108081
4600,0.0389045144994,0.00586994737728
4600,0.041686938347,0.00746034506048
4600,0.0446683592151,0.00719304098354
4600,0.0478630092323,0.0165506865523
4600,0.0512861383991,0.0158213645927
4600,0.0549540873858,0.0208582887638
4600,0.0588843655356,0.0155222740951
4600,0.063095734448,0.0203215294941
4600,0.0676082975392,0.01985871673
4600,0.0724435960075,0.0197265198957
4600,0.0776247116629,0.0245712379534
4600,0.0831763771103,0.0284048038692
4600,0.0891250938134,0.0465728022848
4600,0.0954992586021,0.033141762732
4600,0.102329299228,0.0296903036789
4600,0.109647819614,0.0342330817366
4600,0.117489755494,0.031464904223
4600,0.125892541179,0.0373772517133
4600,0.134896288259,0.0272690391869
4600,0.144543977075,0.0458521423333
4600,0.154881661891,0.0285667684926
4600,0.165958690744,0.0331294583873
4600,0.177827941004,0.0412379646703
4600,0.190546071796,0.0324079537274
4600,0.204173794467,0.0399070448718
4600,0.218776162395,0.043849212054
4600,0.234422881532,0.0303179973924
4600,0.251188643151,0.0354527614293
4600,0.269153480393,0.030979517117
4600,0.288403150313,0.0377808594102
4600,0.309029543251,0.0335422616666
4600,0.331131121483,0.0458547672074
4600,0.354813389234,0.0253031532496
4600,0.380189396321,0.0275915636851
4600,0.407380277804,0.0321151809075
4600,0.43651583224,0.0313680095681
4600,0.467735141287,0.0278693463583
4600,0.501187233627,0.0217971019929
4600,0.53703179637,0.0283310923433
4600,0.575439937337,0.0228215941136
4600,0.616595001861,0.0369607569875
4600,0.660693448008,0.0403505737551
4600,0.707945784384,0.0417609176469
4600,0.758577575029,0.0331730825173
4600,0.812830516164,0.0358825674039
4600,0.870963589956,0.0287509734286
4600,0.933254300797,0.0392035118833
4600,1,0.449401644596
4800,0.001,0
4800,0.00107151930524,0
4800,0.0011481536215,0
4800,0.00123026877081,0
4800,0.00131825673856,0
4800,0.00141253754462,0
4800,0.00151356124844,0
4800,0.00162181009736,0
4800,0.00173780082875,0
4800,0.00186208713666,0
4800,0.00199526231497,0
